name,description,model,chassis,type,year,price,image,manufacturer_id,mechanical_details.engine,mechanical_details.cylinders,mechanical_details.fuel,mechanical_details.mileage,mechanical_details.transmission,mechanical_details.drivetrain,body_details.trim,body_details.doors,body_details.exterior_color,body_details.interior_color
Kia Niro Touring,Black 2024 Kia Niro EX Touring FWD 6-Speed Automatic 1.6L I4 DGI Hybrid DOHC 16V LEV3-SULEV30 1.6L I4 DGI Hybrid DOHC 16V LEV3-SULEV30. Recent Arrival! 53/45 City/Highway MPG,Niro,SUV,New,2024,34310.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797d,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,13.0,6-SPEED AUTOMATIC,Front-wheel Drive,Touring,4,Aurora Black,Medium Gray
Buick Encore GX Avenir,For information regarding this vehicle contact of our Product specialists today at 218-741-6000 or swing by for a test drive!,Encore GX,SUV,New,2024,36190.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17984,12V GDI DOHC Turbo,3,Gasoline,7.0,9-Speed Automatic,All-wheel Drive,Avenir,4,Ocean Blue Metallic,Ebony
Mercedes-Benz GLE 450 4MATIC,2024 Mercedes-Benz GLE GLE 450 19/26 City/Highway MPGPlease contact Internet Sales Consultant for more information.,GLE 450,SUV,New,2024,85630.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17985,24V GDI DOHC Turbo,6,Gasoline,7.0,9-Speed Automatic,All-wheel Drive,4MATIC,4,Black,Black
Mercedes-Benz GLS 450 4MATIC,"Pinnacle Trim Package,Catalana Beige/Black; Leather Upholstery,Warmth & Comfort Package,Roof Spoiler,Illuminated Running Boards,Panoramic Roof,Trailer Hitch,Leather Seats,Navigation System,3rd Row Seat,5-Zone Climate Control,Mb-Tex Lower Dashboard & Door Beltline,Heated Steering Wheel,Dashcam,All-Season Front & Rear Floormats,Natural Grain Brown Walnut Wood Trim,Wheel Locking Bolts,Lane Keeping Assist,Keyless Start,Rear Spoiler,Heads-Up Display,First Aid Kit,Cooled Front Seat(S),Black Headliner,Polar White,Wheels: 21 Triple 5-Spoke",GLS 450,SUV,New,2024,98180.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17985,24V GDI DOHC Turbo,6,Gasoline,5.0,9-Speed Automatic,All-wheel Drive,4MATIC,4,Polar White,Beige / Black
Ford Transit-250 Base,"2024 Ford Transit-250 Medium Roof, 3D Cargo Van, 3.5 V6, 10-Speed Automatic with Overdrive, Oxford White, Dark Palazzo Gray w/Vinyl Front Bucket Seats, 2 Additional Keys (4 Total), 4 Speakers, 6 Cargo Tie-Down Hooks, AM/FM Stereo, D-Pillar Assist Handles, Exterior Parking Camera Rear, Front & Rear Vinyl Floor Covering, Front Overhead Shelf, Full Rear Compartment Lighting, Order Code 101A, Passenger-Side B-Pillar Assist Handle, Power windows, Remote keyless entry, Short-Arm Manual-Folding Power Adjust Mirrors, Speed control, Telescoping steering wheel.We're here to make your shopping experience as pleasant and hassle free as possible. Call us now to get more information @ 888-349-4989!
      
    We guarantee the best pricing on all our vehicles or we will pay you $500 if we can't beat your best price, just bring us your best deal in writing and we'll beat it! We want you to love your new vehicle so much that if you don't, we offer a 72 hour exchange program. We'll exchange it for another vehicle of your choice! Just keep the vehicle in the same condition as purchased and under 300 miles.",Transit-250,Van,New,2024,51803.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe17978,"6 port/direct injection, DOHC, variable valve control, re",6,Gasoline,1.0,Automatic,Rear-wheel Drive,Base,3,Oxford White,Dk Palazzo Gry Fron
Chevrolet Trax LT,"Cayenne Orange Metallic 2024 Chevrolet Trax LT FWD 6-Speed Automatic 1.2L Ecotec Turbo DOHC DI w/VVT Chevy MyLink Touch Screen Infotainment System, Remote Start, Heated Seats, Bluetooth, Backup Camera, Apple Carplay, Android Auto. Recent Arrival! 28/32 City/Highway MPG Awards:  Car and Driver 10 Best Car and Driver, January 2017. Family owned and operated since 1918 , Lima Cadillac is a quality oriented, full service automotive dealership that prides itself on creating a positive atmosphere for all of our customers and employees based on trust, respect, honesty, and integrity. If at any time you have a question, please do not hesitate to contact a Lima Cadillac professional online or give us a call at 419-993-6000! Please note the advertised price does not include sales tax, vehicle registration fees, other fees required by law, finance charges and any documentation charges. Dealership not responsible for equipment inaccuracies.
      
    We have been same-family owned dealership for over 100 years. Not only do we have better deals, our service department is SECOND to NONE! We can help make your internet buying experience very easy. Read our reviews on DealerRater.com and Google Places and see what our customers say about buying a vehicle from Lima Auto Mall. Also, check us out on facebook!",Trax,SUV,New,2024,24680.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797a,12V GDI DOHC Turbo,3,Gasoline,5.0,6-Speed Automatic,Front-wheel Drive,LT,4,Cayenne Orange Metallic,Jet Black
Honda Odyssey Touring,"Platinum White Pearl 2024 Honda Odyssey Touring FWD 10-Speed Automatic 3.5L V6 SOHC i-VTEC 24V19/28 City/Highway MPGLearn more about our dealership, and the many benefits we offer, like providing a pickup/delivery service, service financing, and easy online scheduling, then make the short drive to our Great Falls dealership so we can help with all of your car buying and leasing needs. Call us today to schedule an appointment.",Odyssey,Van,New,2024,44350.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe17986,"6 gasoline direct injection, i-VTEC variable valve contro",6,Gasoline,0.0,Automatic,Front-wheel Drive,Touring,4,Platinum White Pearl,Black
Chevrolet Silverado 1500 Custom Trail Boss,"NEW 2024 CHEVROLET SILVERADO 1500 -Brand new!! -No accidents -Services done at Dominion Chevrolet -Very low mileage -REALTREE EDITION Packed with a broad range of cutting-edge features, this vehicle is at the forefront of modern design. From Navigation Through Phone to Bluetooth and Wi-Fi, this model offers a plethora of connectivity options. It's also compatible with both Apple CarPlay and Android Auto. Some of the unique things about the REALTREE custom truck are.. Camo graphics on hood, outside bed, tailgate, and interior accents Chevytec spray-on bedliner with Realtree logo Dual exhaust outlets with Black rectangular tips, Black Silverado, Z71, and Custom emblems Red recovery hooks Available Goodyear Wrangler Territory MT tires with 20-inch high-gloss Black-painted aluminum wheels High-intensity discharge LED headlamps Black tubular assist steps Come take a test drive today! Experience big city deals and small town feels at Dominion Chevrolet in Bridgman, MI . No pressure sales and financing to help you get the best deal! Give us a call today! 269-465-3325
      
    Shipping options available, see dealer for details.",Silverado 1500,Pickup Truck,New,2024,57635.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe1797a,"5.3L V-8 gasoline direct injection, variable valve contr",8,Gasoline,5.0,Automatic,Four-wheel Drive,Custom Trail Boss,4,Summit White,Jet Black
Chrysler Pacifica Touring L,Fathom Blue Pearlcoat 2023 Chrysler Pacifica Touring L FWD 9-Speed 948TE Automatic 3.6L V6 24V VVT19/28 City/Highway MPG,Pacifica,Van,New,2023,45300.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe1797c,"6 DOHC, VVT variable valve control, engine with cylinder",6,Gasoline,25.0,9-Speed 948TE Automatic,Front-wheel Drive,Touring L,4,Fathom Blue Pearlcoat,Black/Alloy/Black
Ford Bronco Sport Big Bend,"Vehicle pricing does not include tax, title, dealer fee of $599.50. Factory MSRP: $32,520 $2,500 off MSRP! Priced below KBB Fair Purchase Price! 25/29 City/Highway MPGPLUS TAX, TAGS AND 599.50 DEALER FEE. All price are plus Tax Title License and Fees. Price includes: $1250 - Bonus Cash. Exp. 06/03/2024 $750 - Bonus Customer Cash. Exp. 07/08/2024",Bronco Sport,SUV,New,2024,30020.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,oBoost,3,Gasoline,0.0,8-Speed Automatic,Four-wheel Drive,Big Bend,4,Oxford White,Ebony
Dodge Durango R/T,"If you're looking for a new Chrysler, Dodge, Jeep or RAM we are the only place to shop. We have a large inventory with a beautiful selection that will be sure to fit your budget. Don't shop anywhere else- University CDJR is the dealership for you. Making shopping a convenience instead of a hassle. Don't forget to read our reviews!",Durango,SUV,New,2023,53995.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,16V MPFI OHV,8,Gasoline,12.0,8-Speed Automatic,All-wheel Drive,R/T,4,DB Black Clearcoat,Black
Land Rover Defender P400 X-Dynamic SE,"NAV, Sunroof, Heated Leather Seats, Alloy Wheels, 4x4, Panoramic Roof. Warranty 4 yrs/50k Miles - Basic Warranty; KEY FEATURES INCLUDELeather Seats, Navigation, Sunroof, Panoramic Roof, 4x4 VISIT US TODAYAt Land Rover Santa Fe, we want you to have the most enjoyable car buying experience possible. Thats why weve outfitted our showroom with a bevy of friendly specialists wholl get drivers of Santa Fe, White Rock, and La Cienega behind the wheel of an impressive Land Rover. Please confirm the accuracy of the included equipment by calling us prior to purchase.",Defender,SUV,New,2024,77645.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1798b,24V GDI DOHC Turbo,6,Gasoline,9.0,8-Speed Automatic,Four-wheel Drive,P400 X-Dynamic SE,2,Gondwana Stone,Ebony
Chrysler Pacifica Touring-L,"Heated Seats, Third Row Seat, Power Liftgate, All Wheel Drive, ENGINE: 3.6L V6 24V VVT UPG I W/ESS, TRANSMISSION: 9-SPEED 948TE AUTOMATIC... S APPEARANCE PACKAGE, SAFETY SPHERE, Quad Bucket Seats. Bright White Clearcoat exterior and Black interior. EPA 25 MPG Hwy/17 MPG City! Warranty 5 yrs/60k Miles - Drivetrain Warranty; AND MORE!======KEY FEATURES INCLUDE: Third Row Seat, Quad Bucket Seats, Power Liftgate Rear Spoiler, MP3 Player, Power Third Passenger Door, All Wheel Drive, Remote Trunk Release, Privacy Glass, Keyless Entry. ======OPTION PACKAGES: S APPEARANCE PACKAGE Black Day Light Opening Moldings, Piano Black Interior Accents, Premium Fascia Upper/Lower Grille w/Black Surround, Tires: 245/50R20 BSW AS Self-Sealing, Black Stow N Place Roof Rack, Premium Rear Fascia Black, Anodized Ice Cave Accents, Wheels: 20 x 7.5 S-Model Aluminum Design 1, Anodized Ink Badging, S Badge, SAFETY SPHERE 360 Surround View Camera System, Parallel & Perpendicular Park Assist w/Stop, ParkSense Front/Rear Park Assist w/Stop, TRANSMISSION: 9-SPEED 948TE AUTOMATIC (STD), ENGINE: 3.6L V6 24V VVT UPG I W/ESS (STD). Chrysler Touring L with Bright White Clearcoat exterior and Black interior features a V6 Cylinder Engine with 287 HP at 6400 RPM. ======WHY BUY FROM US: Lithia Chrysler Jeep Dodge Ram of Wasilla would like to express our sincere gratitude for visiting our website. Our relationship with you and commitment to helping you enjoy the car of your dreams every mile you travel? Those are the most important aspects of our business. Our first and foremost goal is to make your car-buying and ownership experience better than any other youve had near Wasilla, Palmer, Fort Richardson, Eagle River and beyond. Plus tax, title and license. Prices include $200 dealer doc fee. See dealer for Stock Numbers. Price contains all applicable dealer incentives and non-limited factory rebates. You may qualify for additional rebates; see dealer for details.",Pacifica,Van,New,2024,46450.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe1797c,24V MPFI DOHC,6,Gasoline,42.0,9-Speed Automatic,All-wheel Drive,Touring-L,4,Bright White Clearcoat,Black
Ford Edge SEL,"Agate Black Metallic 2024 Ford Edge SEL AWD 8-Speed Automatic EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT FOR MORE INFORMATION TEXT ME @ 801-829-9323, INVENTORY REDUCTION EVENT, SALE 1340 SOUTH 500 WEST SALT LAKE CITY UT, AWD.21/28 City/Highway MPG
      
    Our company mission is to ""enrich the lives of others."" We couldn't be more proud of the values and standards that our company maintains. From top to bottom, our staff here at Larry H. Miller Super Ford in Salt Lake City is dedicated to deliver these same principles to the wonderful residents of Salt Lake City and everyone that we have the pleasure of doing business with.",Edge,SUV,New,2024,41195.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,16V GDI DOHC Turbo,4,Gasoline,5.0,8-Speed Automatic,All-wheel Drive,SEL,4,Agate Black Metallic,Ebony
Jeep Gladiator Sport,"Quick Order Package 24W Willys,Transmission: 8-Speed Automatic (850Re),Convenience Group,Black 3-Piece Hard Top,Black Clearcoat,Keyless Start,Convertible Hardtop,Black; Cloth Low-Back Bucket Seats,Engine: 3.6L V6 24V Vvt Upg I W/Ess",Gladiator,Pickup Truck,New,2024,46791.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17973,24V MPFI DOHC,6,Gasoline,12.0,Automatic,Four-wheel Drive,Sport,4,Black Clearcoat,Black
Audi Q5 e 55 Prestige,"Silver Metallic 2024 Audi Q5 e 55 Prestige S Line quattro 7-Speed Automatic S tronic 2.0L TurbochargedRecent Arrival!At each of our three Seattle area car dealerships, you'll find a stellar selection of new and pre-owned automobiles at competitive prices. If you are shopping new cars and SUVs for sale in Seattle, then be sure to see our lineup of luxurious new Audi Q5 and A4 models. Or, turn to a new Volkswagen Golf or Tiguan from University Volkswagen for a sporty new ride that can take on Seattle traffic.",Q5 e,SUV,New,2024,78695.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17981,"gasoline direct injection, DOHC, variable valve control,",4,Gasoline,12.0,7-Speed Automatic S tronic,All-wheel Drive,55 Prestige,4,Silver Metallic,Black
Dodge Hornet GT Plus AWD,"CALL 239-424-7514 to set up a VIP APPOINTMENT!.2024 Dodge Hornet GT Plus 8 Ball AWD 9-Speed 948TE Automatic 2.0L I4 DOHCCape Coral Chrysler Dodge Jeep Ram wants to be your dealer. With the friendliest staff is Southwest Florida, the newest state of the art facility, 52 bays of service, 5 service lanes, automated car wash, free refreshments, and over 40 banks to get you the best deals possible on your new vehicle. Call Cape Coral Chrysler Dodge Jeep Ram for all your automotive needs or with any questions about our listings.21/29 City/Highway MPG Price includes: $500 - 2024 DJR National Retail Consumer Cash 24CR1
      
    Cape Coral CDJR provides you a world class client experience.  With the friendliest staff in Southwest Florida, and over 4,000 vehicles in stock and available, you'll always find what you need to fit into your budget.  Find us on Pine Island Road.",Hornet,SUV,New,2024,38546.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,73.0,9-Speed 948TE Automatic,All-wheel Drive,GT Plus AWD,4,8 Ball,Black
Jeep Compass Latitude Lux,"2024 Jeep Compass Latitude Lux 4X4Bright White ClearcoatBlack Leatherette Seats10.1-Inch Touch Screen DisplayApple CarPlayGoogle Android AutoSiriusXM RadioHeated Front SeatsRemote-Start SystemParkView Rear Back-Up CameraParkSense Rear Park-Assist SystemAdaptive Cruise Control w/ Stop and GoFull-Speed Forward-Collision Warning PlusBlind-Spot and Cross-Path DetectionActive Lane-Management SystemDrowsy Driver DetectionCustomer Preferred Package 29L2.0L I4 DOHC DI Turbo Engine8-Speed Automatic4 Wheel Drive At Eide Chrysler, we want to give you the best possible deal on your next new vehicle. Our prices are posted clearly on every vehicle and on-line in alignment with our policy of transparency. There are additional incentives available that you may qualify for including: Military Consumer Cash, Conquest Lease-to-Retail/Lease, Returning Lessee and more. Please call or stop by and visit us for more information. We brand our dealership as a Markdown Store which incorporates the following elements-Time Saving, Hassle Free & a Fair Price. We have been in business in the Bismarck/Mandan community since 1981 and are locally owned and operated. At Eide Chrysler, we believe in giving you a fair and competitive price upfront. All of our vehicles feature our Markdown Pricing to ensure you feel confident about getting a good deal and excellent overall value in your vehicle purchase. We would also love to have your trade! We will give you Fair Market Trade Value for your vehicle. Want to know what your trade is worth? Use the KBB Instant Cash Offer feature on our website to receive a guaranteed value for your vehicle! We also offer convenient service hours during the week and all day Saturday. All of our vehicles are also offered with a free Autocheck Vehicle History Report. We are very serious about your satisfaction and our aim is to make your experience with us Simple, Fast & Fun. Price includes: $1000 - 2024 JR Denver BC Bonus Cash DECRA. Exp. 06/03/2024 $1500 - 2024 JR Chrysler Capital Bonus Cash DECR5. Exp. 06/03/2024 $500 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 06/03/2024
      
    Tired of getting the runaround from other dealerships every time you try to find the right new or used car, truck, or sport utility vehicle (SUV) for you and your family? Then make it a point to stop by Eide Chrysler the next time you are in the market for a new vehicle or outstanding pre-owned automobile in Bismarck.",Compass,SUV,New,2024,29826.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,16V GDI DOHC Turbo,4,Gasoline,6.0,8-Speed Automatic,Four-wheel Drive,Latitude Lux,4,Bright White Clearcoat,Black
Kia Niro SX Touring,"NIRO SX TOURNING FWDWe at Matt Blatt are dedicated to serving all your automotive needs. Our sales department has one purpose: to exceed your expectations from test drive to delivery. Our professional sales team is committed to a no-pressure, high integrity approach to your ownership experience. We have three locations to serve you - Glassboro, Vineland and Atlantic City. Mention that you saw this ad on Cars.com!",Niro,SUV,New,2024,37135.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797d,16V GDI DOHC Hybrid,4,Hybrid,399.0,Automatic,Front-wheel Drive,SX Touring,4,Runway Red,Medium Gray
Buick Envision Preferred,"White Frost Tricoat 2023 Buick Envision Preferred AWD 9-Speed Automatic 2.0L Turbocharged 22/29 City/Highway MPG 3.47 Final Drive Axle Ratio, 4-Wheel Disc Brakes, 6-Speaker Audio System Feature, 7 Speakers, 7-Speaker Audio System Feature w/Amplifier, 8-Way Power Driver Seat Adjuster, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming door mirrors, Auto-dimming Rear-View mirror, Automatic Emergency Braking, Automatic temperature control, Black Roof Rails, Body-Color Door Handles, Brake assist, Bumpers: body-color, Carpeted Front & Rear Floor Mats, Cloth w/Leatherette Seat Trim, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: OnStar and Buick connected services capable, Following Distance Indicator, Forward Collision Alert, Four wheel independent suspension, Front anti-roll bar, Front Bin Center Console USB Ports, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front Passenger 6-Way Manual Seat Adjuster, Front Pedestrian Braking, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated front seats, Heated steering wheel, Illuminated entry, IntelliBeam Headlamp Control w/Auto High Beam, Knee airbag, Lane Keep Assist w/Lane Departure Warning, Low tire pressure warning, Lower Trim/Wheel Arch Moldings, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power Liftgate, Power steering, Power windows, Preferred Equipment Group 1SC, Premium audio system: Buick Infotainment System, Radio data system, Radio: Buick Infotainment System AM/FM Stereo, Rear anti-roll bar, Rear Cargo Compartment Cover, Rear reading lights, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Roof rack: rails only, Security system, SiriusXM Radio, Speed control, Split folding rear seat, Spoiler, Sport Alloy Pedals, Sport Touring Package, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, USB Charging-Only Ports, Variably intermittent wipers, Wheels: 18 Aluminum w/Light Charcoal Met Finish, Wheels: 20 Aluminum w/Dark Finish, Wireless Apple CarPlay/Wireless Android Auto.Plus government fees and taxes and $449 dealer document processing charge. Tax, title, license (unless itemized above) are extra. Not available with special finance, lease and some other offers.",Envision,SUV,New,2023,37135.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17984,16V GDI DOHC Turbo,4,Gasoline,6.0,9-Speed Automatic,All-wheel Drive,Preferred,4,White Frost Tri-Coat,Ebony
Ford Escape ST-Line,"Ballentine Ford-Lincoln is proud to be one of the premier dealerships in the area. From the moment you walk into our showroom, you'll know our commitment to Customer Service is second to none. We strive to make your experience with us a great one - for the life of your vehicle.",Escape,SUV,New,2024,33590.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,der,4,Hybrid,0.0,CVT,Front-wheel Drive,ST-Line,4,Agate Black,Ebony W/Red Stitching
Ford Escape S,"Ballentine Ford-Lincoln is proud to be one of the premier dealerships in the area. From the moment you walk into our showroom, you'll know our commitment to Customer Service is second to none. We strive to make your experience with us a great one - for the life of your vehicle.",Escape,SUV,New,2024,41765.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,der,4,Hybrid,0.0,CVT,Front-wheel Drive,S,4,Star White Metallic Tri-Coat,Ebony
Ford Bronco Wildtrak,"At King's Colonial Ford, we aim for far more than just your satisfaction, we strive to earn your lifetime loyalty. King's Colonial Ford brings you competitive pricing combined with outstanding service and respectful sales. Ask for RJ Dilts.",Bronco,SUV,New,2024,69035.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,24V PDI DOHC Twin Turbo,6,Gasoline,9.0,10-Speed Automatic,Four-wheel Drive,Wildtrak,4,Azure Gray Metallic,Medium Sandstone
Kia Niro EX,White 2024 Kia Niro EX FWD 6-Speed Automatic 1.6L I4 DGI Hybrid DOHC 16V LEV3-SULEV30 1.6L I4 DGI Hybrid DOHC 16V LEV3-SULEV30. Recent Arrival! 53/54 City/Highway MPG,Niro,SUV,New,2024,31860.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797d,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,17.0,A/T,Front-wheel Drive,EX,4,Snow White Pearl,Medium Gray
Ford Expedition Platinum,"Heated Leather Seats, Navigation, Moonroof, Third Row Seat, 4x4, Captains Chairs, Trailer Hitch, WHEELS: 22 6-SPOKE POLISHED ALUMINUM... HEAVY-DUTY TRAILER TOW PACKAGE. Platinum trim, Agate Black exterior and Black Onyx interior KEY FEATURES INCLUDELeather Seats, Third Row Seat, Navigation, Sunroof, Panoramic Roof OPTION PACKAGESWHEELS: 22 6-SPOKE POLISHED ALUMINUM, HEAVY-DUTY TRAILER TOW PACKAGE 3.73 Axle Ratio, non-limited-slip rear axle, Integrated Trailer Brake Controller, 26mm Engine Radiator, Pro Trailer Backup Assist, 2-Speed Automatic 4WD, neutral towing capability, 360-Degree Camera w/Trailer Reverse Guidance, Front Tow Hooks, 1ST & 2ND ROW FLOOR LINERS W/CARPET MATS standard carpet floor mats - front and second rows (upgraded carpet w/Platinum series edging), TRANSMISSION: 10-SPEED AUTOMATIC W/SELECTSHIFT (STD). MORE ABOUT USWe have a strong and committed sales staff with many years of experience satisfying our customers needs. Feel free to browse our inventory online, request more information about vehicles, set up a test drive or inquire about financing! Please confirm the accuracy of the included equipment by calling us prior to purchase.",Expedition,SUV,New,2024,88135.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,24V PDI DOHC Twin Turbo,6,Gasoline,6.0,10-Speed Automatic,Four-wheel Drive,Platinum,4,Black,Black Onyx
Volkswagen Jetta 1.5T S,"30/41 City/Highway MPG Recent Arrival! Silver 2024 Volkswagen Jetta 1.5T S FWD 8-Speed Automatic with Tiptronic 1.5L I-4 DI DOHC Turbocharged Black Cloth. WE DELIVER TO YOUR HOME OR OFFICE !!! Black Cloth, 4 Speakers, 4-Wheel Disc Brakes, ABS brakes, Active Blind Spot Monitor, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM with 360L, Auto-dimming Rear-View mirror, Brake assist, Bumpers: body-color, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: VW Car-Net Safe & Secure 5-year, Exterior Parking Camera Rear, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front Seats, Front wheel independent suspension, Fully automatic headlights, Heated door mirrors, Heavy Duty Trunk Liner w/VW CarGo Blocks, Illuminated entry, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio data system, Radio: MIB3 Composition Color w/6.5 Touchscreen, Rain sensing wipers, Rear anti-roll bar, Rear reading lights, Rear window defroster, Remote keyless entry, Rubber Monster Mats Kit (Set of 4), Speed control, Speed-sensing steering, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, VW Care, and Wheels: 16 2-Tone Machined Alloy. Price includes: $1000 - May-June 2024 Retail Customer Bonus. Exp. 07/01/2024
      
    Looking for your next new Volkswagen? With diverse options like the Volkswagen Atlas, the Volkswagen Tiguan, and the Volkswagen Passat, we have a car or SUV for every kind of driver.",Jetta,Sedan,New,2024,22260.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe1797b,16V GDI DOHC Turbo,4,Gasoline,28.0,8-Speed Automatic,Front-wheel Drive,1.5T S,4,Pyrite Silver Metallic,Titan Black
Dodge Hornet R/T Plus EAWD,"CALL 239-424-7514 to set up a VIP APPOINTMENT!, 1.3L I4.2024 Dodge Hornet R/T Plus Q Ball AWD 6-Speed Automatic 1.3L I4Cape Coral Chrysler Dodge Jeep Ram wants to be your dealer. With the friendliest staff is Southwest Florida, the newest state of the art facility, 52 bays of service, 5 service lanes, automated car wash, free refreshments, and over 40 banks to get you the best deals possible on your new vehicle. Call Cape Coral Chrysler Dodge Jeep Ram for all your automotive needs or with any questions about our listings. Price includes: $2000 - 2024 DJR Southeast BC CCAP Lease Loyalty Bonus Cash SECR1A
      
    Cape Coral CDJR provides you a world class client experience.  With the friendliest staff in Southwest Florida, and over 4,000 vehicles in stock and available, you'll always find what you need to fit into your budget.  Find us on Pine Island Road.",Hornet,SUV,New,2024,46490.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,"4 gasoline direct injection, DOHC, Multiair variable valv",4,Gasoline,21.0,6-Speed Automatic,All-wheel Drive,R/T Plus EAWD,4,Q Ball,Black
Hyundai Palisade SEL,For more information call or text Shaun at 563-940-3274.Smart Hyundai of Davenport will help you take the next steps towards driving home the Hyundai of your dreams. Our finance experts are trained to sort through various auto loan and lease details in order to help you find the right one for your needs: making sure you find a car loan or a Hyundai lease in the Davenport area that you love just as much as your new car.,Palisade,SUV,New,2024,46905.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17979,24V GDI DOHC,6,Gasoline,25.0,8-Speed Automatic,All-wheel Drive,SEL,4,Steel / Graphite,Gray / Black
RAM 2500 Power Wagon,"We are Home of the Patriot Pledge, featuring an Engine for Life Warranty, Roadside Assistance, and cost free maintenance. Patriot has the BEST prices, BEST selection, and BEST service in Oklahoma! We will absolutely NOT be undersold on any new vehicle! Every customer can receive our internet price!! Most customers will qualify for additional rebates that are conditional to each customer and could be up to an additional $7,250 based on availability, qualifications, and make/model. We average an extra $2,102.73 in found rebates for our customers!Olive Green Pearlcoat 2024 Ram 2500 Power Wagon 4WD 6-Speed Automatic Cummins 6.7L I6 TurbodieselCome see us on Route 66 in Chandler, USA for the deal of a lifetime! We will not be undersold on any new Chrysler, Dodge, Jeep, or Ram vehicle! Remember, our low overhead means we have lower prices! Avoid the big city hassle and come enjoy the small-town atmosphere with big city selection! Come see your friends in Chandler today! Or visit our digital showroom at www.PatriotCDJR.com today! Please see dealer for full details.
      
    For a great deal with no hidden cost take the short drive to visit us in Chandler, OK.  Give us a try.",2500,Pickup Truck,New,2024,74990.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17976,"6.7L I-6 diesel direct injection, VVT intercooled turbo,",6,Diesel,15.0,Automatic,Four-wheel Drive,Power Wagon,4,Olive Green Pearlcoat,Black
